Layer,Name,GEOID,INC_2017-2021,INC_2017-2021_moe
,,,"Median household income, 2017-2021",(90% margin of error)
Community area,Rogers Park,1,51702.5810899229,5743.981975021549
Community area,Norwood Park,10,96762.5561463996,6975.736323678249
Community area,Jefferson Park,11,84746.4909132275,8717.501784871656
Community area,Forest Glen,12,132773.52699036,14532.869912833985
Community area,North Park,13,63709.5129591303,9296.668790052969
Community area,Albany Park,14,71978.4125286356,8097.388132304961
Community area,Portage Park,15,78898.5159803236,5290.61399470217
Community area,Irving Park,16,79728.390433669,6795.8694627232335
Community area,Dunning,17,78217.9574325523,7734.721589815974
Community area,Montclare,18,55998.1597388659,21708.125087366654
Community area,Belmont Cragin,19,60868.8207115341,4932.945181544882
Community area,West Ridge,2,61465.8298985407,5422.498535068829
Community area,Hermosa,20,60492.9371004903,6118.117836326318
Community area,Avondale,21,79994.6885730412,6800.530248786416
Community area,Logan Square,22,95764.4840730865,4577.314731960369
Community area,Humboldt Park,23,47907.0540669805,5248.732291445728
Community area,West Town,24,121221.637052242,5493.310702763587
Community area,Austin,25,43790.2613878405,5299.189452021831
Community area,West Garfield Park,26,33929.862468668,5299.611497632915
Community area,East Garfield Park,27,27872.2961010423,5168.313732429573
Community area,Near West Side,28,98452.8203150894,9138.949685734226
Community area,North Lawndale,29,33915.1022644167,4436.716358241717
Community area,Uptown,3,64213.3023210496,5594.036269792185
Community area,South Lawndale,30,40359.4495442491,4560.761566914414
Community area,Lower West Side,31,62962.5347009566,7887.921736140984
Community area,Loop,32,119545.18740625,15063.287133843596
Community area,Near South Side,33,111759.578776138,16421.11981819868
Community area,Armour Square,34,37851.9728927742,16659.16060360345
Community area,Douglas,35,48925.83547291,8564.213803887847
Community area,Oakland,36,30749.1184334665,8830.752859667755
Community area,Fuller Park,37,18315.6397394826,4657.911085265392
Community area,Grand Boulevard,38,43836.9014743217,7991.470022421772
Community area,Kenwood,39,51555.7777355816,9482.218014099779
Community area,Lincoln Square,4,84401.2262570264,6302.38700400995
Community area,Washington Park,40,25189.9437891151,6657.974097634096
Community area,Hyde Park,41,71216.3632561484,12712.748442453092
Community area,Woodlawn,42,33516.9471059749,7603.965030814846
Community area,South Shore,43,36608.3289172712,4564.936970473624
Community area,Chatham,44,41453.6479304282,7577.941950670887
Community area,Avalon Park,45,53070.0857075135,16045.772386015768
Community area,South Chicago,46,41043.4395431671,9452.865959035598
Community area,Burnside,47,45296.009293376,20494.63507110683
Community area,Calumet Heights,48,68117.7035851219,16609.90200487959
Community area,Roseland,49,46307.2722468859,4377.84422543242
Community area,North Center,5,142241.306042457,11742.088406128649
Community area,Pullman,50,55081.1958279608,11656.466695273368
Community area,South Deering,51,37015.6003917535,8818.85813779597
Community area,East Side,52,57742.887796712,8676.504643691864
Community area,West Pullman,53,48287.4471081467,8005.815223771924
Community area,Riverdale,54,19527.8390088707,7690.421479474013
Community area,Hegewisch,55,59340.6811482714,28732.106887074213
Community area,Garfield Ridge,56,84303.172255932,9108.031653686017
Community area,Archer Heights,57,51678.2941499196,11377.593698792365
Community area,Brighton Park,58,47131.9315939676,5105.582596696328
Community area,McKinley Park,59,65000.0583065096,12410.218337891867
Community area,Lake View,6,110224.025811493,6246.547134507947
Community area,Bridgeport,60,69872.1234969528,7443.586896262569
Community area,New City,61,40159.6381936672,3748.379603065001
Community area,West Elsdon,62,56894.3912851826,11339.313566501984
Community area,Gage Park,63,45000.1554742539,4731.604686531672
Community area,Clearing,64,63894.8315166439,9585.85631333313
Community area,West Lawn,65,64686.081105261,6471.225262342446
Community area,Chicago Lawn,66,40214.2097606439,4589.500328129068
Community area,West Englewood,67,28979.1695504818,4411.46711359826
Community area,Englewood,68,25670.6608390665,4101.297844231806
Community area,Greater Grand Crossing,69,34700.9368462343,7201.599592184659
Community area,Lincoln Park,7,151341.878210618,9988.852289374647
Community area,Ashburn,70,72500.7761645324,7829.985858327222
Community area,Auburn Gresham,71,39607.9783737991,4166.267171411552
Community area,Beverly,72,113753.421143429,11446.382162652606
Community area,Washington Heights,73,57781.7432082216,8985.727690302454
Community area,Mount Greenwood,74,108192.508505031,13151.97833465793
Community area,Morgan Park,75,67532.816547815,9985.649673083095
Community area,O'Hare,76,61918.2206085312,9950.724647930903
Community area,Edgewater,77,70026.7511845599,4892.210282959611
Community area,Near North Side,8,117731.25188738,7493.877339113826
Community area,Edison Park,9,113380.718359436,14167.799036609045
