Layer,Name,GEOID,UMP_2017-2021,UMP_2017-2021_moe
,,,"Unemployment rate (%), 2017-2021",(90% margin of error)
Community area,Rogers Park,1,5.09051873807082,1.691822354709477
Community area,Norwood Park,10,4.46145864075147,1.9639734362713108
Community area,Jefferson Park,11,5.73052840828009,2.5700622675316938
Community area,Forest Glen,12,4.39151500768578,2.455801565323124
Community area,North Park,13,3.57956283403335,2.7018405515993407
Community area,Albany Park,14,6.6660517385112,2.4093888294100148
Community area,Portage Park,15,5.61781630141782,1.4799165191514627
Community area,Irving Park,16,6.44524550127912,1.7374492592722004
Community area,Dunning,17,4.89400825511832,1.8361176656548728
Community area,Montclare,18,5.36229404666811,3.4594568320937107
Community area,Belmont Cragin,19,5.36610753620452,1.3411600803028354
Community area,West Ridge,2,6.66286994248274,1.8190875167906406
Community area,Hermosa,20,4.78152963372372,2.136625828968978
Community area,Avondale,21,5.01250923021485,1.6559243882933792
Community area,Logan Square,22,3.78858402046115,1.0081470102804388
Community area,Humboldt Park,23,10.9355354765512,2.876431823427795
Community area,West Town,24,3.49830922227855,1.0005998722462757
Community area,Austin,25,13.7568115272227,2.252824509345733
Community area,West Garfield Park,26,22.697513649178,5.867334437731488
Community area,East Garfield Park,27,20.2887735825669,5.3631020856012
Community area,Near West Side,28,7.07704746995199,1.7684428403049
Community area,North Lawndale,29,17.8995419379258,3.9269091948139856
Community area,Uptown,3,4.30789333291623,1.3582401847022467
Community area,South Lawndale,30,10.4844858908713,3.55303953380547
Community area,Lower West Side,31,6.34333277150737,2.1910711223679047
Community area,Loop,32,6.29411226675247,2.4170045248777408
Community area,Near South Side,33,2.0390077110256,1.9471534651998335
Community area,Armour Square,34,7.95256594079494,4.425676757330574
Community area,Douglas,35,16.3414062717478,3.927494188217529
Community area,Oakland,36,25.6771060386471,11.810646661036875
Community area,Fuller Park,37,32.5187393179432,18.919490361010766
Community area,Grand Boulevard,38,14.707791360845,4.130859150194408
Community area,Kenwood,39,12.1722392765048,4.515195674114265
Community area,Lincoln Square,4,5.8655543256256,1.8033150068641788
Community area,Washington Park,40,20.8443199249466,7.4405172696962
Community area,Hyde Park,41,7.90557276445455,3.164632863866627
Community area,Woodlawn,42,18.5140606090522,4.0881304672228245
Community area,South Shore,43,16.9699076272087,3.2000725202473665
Community area,Chatham,44,14.3251640227359,3.972043489210852
Community area,Avalon Park,45,13.4687030080198,8.620708703730045
Community area,South Chicago,46,16.9582924858769,4.47743449570832
Community area,Burnside,47,21.4545049750991,13.683292604578261
Community area,Calumet Heights,48,9.13981030256416,4.742916821394512
Community area,Roseland,49,18.7057973018428,3.448649461781349
Community area,North Center,5,3.65863010946593,1.6485721867201688
Community area,Pullman,50,15.3831168054232,6.181587267868488
Community area,South Deering,51,13.5134220738204,7.189886561518438
Community area,East Side,52,8.01710182714881,2.7759816261805894
Community area,West Pullman,53,19.4019968277389,5.685471690971323
Community area,Riverdale,54,26.2904610024443,10.28740322800525
Community area,Hegewisch,55,11.3136859135071,7.668166568251175
Community area,Garfield Ridge,56,7.52493402806952,2.425132497001471
Community area,Archer Heights,57,11.4034498870654,4.8153457331729275
Community area,Brighton Park,58,9.62738692092789,2.6923675480843903
Community area,McKinley Park,59,7.4910573237985,3.2013815262751715
Community area,Lake View,6,3.86199215947888,0.9548583879549227
Community area,Bridgeport,60,6.44017714309606,1.9407356409484076
Community area,New City,61,15.3776168428787,3.336956190118072
Community area,West Elsdon,62,10.2833078597164,3.9919578823950217
Community area,Gage Park,63,16.2090417944579,4.052463379105178
Community area,Clearing,64,8.4795689008772,4.259831985198082
Community area,West Lawn,65,10.3934167046639,3.080833908129738
Community area,Chicago Lawn,66,18.1550417329556,3.0230209895999316
Community area,West Englewood,67,23.3192467750907,5.426433308837478
Community area,Englewood,68,24.7101472613534,6.1320672389206266
Community area,Greater Grand Crossing,69,19.299752633195,4.097506983876295
Community area,Lincoln Park,7,3.48957308336201,1.2206902741801329
Community area,Ashburn,70,11.8771011596487,3.0145515639454517
Community area,Auburn Gresham,71,19.5629755140447,3.4098733741932814
Community area,Beverly,72,7.77899396170236,3.123540428742193
Community area,Washington Heights,73,14.7765549596247,3.9977529227173876
Community area,Mount Greenwood,74,5.48333114936451,2.8175475783033694
Community area,Morgan Park,75,10.6542484143931,4.422387178991138
Community area,O'Hare,76,4.76793224315009,2.5606792649986754
Community area,Edgewater,77,6.33674241093357,1.574037660710924
Community area,Near North Side,8,2.74799953357242,0.9381130966833281
Community area,Edison Park,9,2.22985655134813,2.9068215797743453
